ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,19.13,,42.12,19.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,43.79,,46.46,43.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,124.11,,26.70,124.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,38.99,,22.29,38.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,7.79,,73.51,7.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80,22.26,,38.13,22.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99,17.51,,90.74,17.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,7.80,,90.76,7.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,-26.34,,47.70,-26.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,13.90,,29.11,13.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,0.00,,57.31,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.71,-2.86,,135.57,-2.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,20.89,,40.76,20.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,-8.70,,16.78,-8.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,22.82,,62.59,22.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,5.65,,22.06,5.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,-20.87,,NA,-20.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,6.14,,30.16,6.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26,-0.91,,40.86,-0.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.80,-16.02,,28.83,-16.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,6.55,,25.89,6.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,115.08,,23.81,115.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,96.76,,11.87,96.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,22.63,,104.57,22.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,-6.47,,37.50,-6.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,26.66,,36.45,26.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.20,-11.28,,26.85,-11.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,20.59,,27.51,20.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,12.82,,19.52,12.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,-17.27,,29.77,-17.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,-10.03,,22.85,-10.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,-20.82,,35.87,-20.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,-4.74,,24.80,-4.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,65.62,,295.27,65.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,-2.56,,16.25,-2.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,-0.46,,NM,-0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,15.44,,33.60,15.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,-23.81,,38.43,-23.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,-30.21,,82.78,-30.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,-11.30,,37.82,-11.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,19.29,,34.04,19.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,-2.00,,38.07,-2.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,-10.43,,26.04,-10.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,-26.95,,41.32,-26.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,-12.13,,45.26,-12.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.80,-20.59,,90.70,-20.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,4.16,,73.55,4.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,-59.26,,80.14,-59.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,7.44,,NA,7.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87,-28.30,,82.66,-28.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,-0.39,,96.49,-0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84,4.59,,112.90,4.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,3.08,,91.96,3.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03,64.25,,NM,64.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27,-9.28,,29.29,-9.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,-8.48,,73.90,-8.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,-3.55,,26.70,-3.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.10,40.91,,61.16,40.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,-17.23,,8.03,-17.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,-18.21,,19.60,-18.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,9.41,,10.21,9.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,2.94,,51.34,2.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.27,20.93,,26.80,20.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,14.48,,13.15,14.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90,4.41,,115.02,4.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,24.85,,43.62,24.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,4.43,,7.90,4.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,-13.97,,48.07,-13.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,13.16,,14.76,13.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,17.59,,35.86,17.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,60.13,,12.84,60.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,-6.58,,66.92,-6.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,-4.32,,508.75,-4.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,64.67,,21.58,64.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,-17.06,,41.23,-17.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.07,-8.75,,93.06,-8.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,14.13,,41.84,14.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,-29.36,,43.46,-29.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,41.13,,78.26,41.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.20,-27.86,,42.80,-27.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,-16.01,,36.76,-16.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,-0.78,,100.52,-0.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,-5.21,,75.01,-5.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,5.41,,28.44,5.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,-16.17,,457.78,-16.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,9.75,,19.91,9.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,-6.43,,49.42,-6.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,-2.66,,168.08,-2.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22,134.29,,20.23,134.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90,85.71,,10.24,85.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99,-21.37,,32.37,-21.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19,-14.13,,206.64,-14.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,44.58,,43.25,44.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,8.33,,38.43,8.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,24.89,,30.20,24.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.80,13.82,,98.03,13.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,-10.74,,49.68,-10.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11,-3.08,,65.08,-3.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,28.45,,35.80,28.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,-42.76,,28.70,-42.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,32.10,,42.59,32.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,-1.03,,24.45,-1.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,6.96,,24.96,6.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80,6.37,,29.03,6.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87,3.57,,95.19,3.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,-34.78,,15.19,-34.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.71,-36.36,,NM,-36.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,-0.33,,80.60,-0.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,-28.24,,NM,-28.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44,42.70,,33.83,42.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,14.29,,55.93,14.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,-29.09,,6.42,-29.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66,-4.80,,62.11,-4.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,53.95,,22.45,53.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80,11.27,,55.77,11.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,8.51,,47.34,8.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,-10.64,,27.75,-10.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71,-12.59,,23.92,-12.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67,-38.08,,55.83,-38.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,56.67,,47.47,56.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,-10.67,,38.52,-10.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,-60.38,,36.67,-60.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,-8.42,,53.75,-8.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,1.37,,90.08,1.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,39.32,,19.79,39.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,-0.22,,96.65,-0.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,-16.14,,77.87,-16.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,35.78,,35.86,35.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,-20.21,,5.56,-20.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27,-32.69,,45.82,-32.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,8.95,,123.38,8.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,-18.35,,22.35,-18.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,18.86,,20.30,18.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,-6.90,,20.98,-6.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,-77.56,,NM,-77.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,-57.87,,28.83,-57.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,21.18,,53.42,21.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,69.64,,40.40,69.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80,-34.58,,42.53,-34.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,96.52,,5.47,96.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,-31.88,,10.68,-31.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,-1.25,,0.11,-1.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,-14.17,,33.07,-14.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,-3.69,,108.10,-3.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,-49.95,,62.48,-49.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,6.72,,24.36,6.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59,-0.25,,57.86,-0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,-5.69,,53.30,-5.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,-27.23,,31.09,-27.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,-3.53,,90.34,-3.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,23.38,,29.29,23.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,-21.79,,91.74,-21.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,-12.95,,44.83,-12.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,-35.98,,41.19,-35.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,238.54,,39.24,238.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,23.00,,35.85,23.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,149.60,,65.82,149.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,-69.32,,31.78,-69.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33,-9.61,,46.29,-9.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,6.27,,32.20,6.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,10.34,,13.36,10.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,23.53,,32.71,23.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,-2.32,,32.68,-2.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03,-0.74,,30.52,-0.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,9.87,,70.18,9.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,48.11,,11.70,48.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23,-30.80,,83.78,-30.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14,0.00,,79.78,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,-10.81,,40.66,-10.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,-34.41,,61.43,-34.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,-36.53,,78.24,-36.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06,-38.21,,30.56,-38.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12,0.35,,30.46,0.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22,-8.54,,34.05,-8.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27,-5.27,,31.29,-5.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04,-32.98,,34.32,-32.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.40,-7.41,,22.49,-7.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,-35.69,,101.95,-35.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,-31.60,,23.10,-31.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,-18.95,,36.29,-18.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,13.50,,907.13,13.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,2.50,,52.50,2.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,-19.17,,63.49,-19.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,-27.38,,9.34,-27.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,-10.68,,12.49,-10.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,0.96,,21.96,0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,-19.29,,101.64,-19.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,-22.82,,122.33,-22.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96,-22.61,,NA,-22.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81,-18.50,,43.50,-18.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29,-27.52,,73.33,-27.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22,2.06,,29.51,2.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,34.25,,42.66,34.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.69,-12.18,,141.60,-12.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,-25.00,,35.57,-25.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,-55.49,,6.83,-55.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71,-10.11,,28.90,-10.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,-41.96,,21.67,-41.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29,-4.50,,39.44,-4.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,-17.35,,21.41,-17.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90,-34.53,,102.74,-34.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.60,-47.36,,40.05,-47.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,-10.26,,45.02,-10.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.53,-16.08,,43.88,-16.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,-30.73,,39.97,-30.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.70,-12.99,,102.51,-12.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68,3.08,,19.83,3.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,-13.96,,53.74,-13.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,-50.31,,93.24,-50.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,-9.97,,39.16,-9.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,-21.07,,28.41,-21.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,-20.99,,11.75,-20.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95,9.87,,69.29,9.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.70,-33.30,,73.97,-33.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,31.05,,54.17,31.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,38.74,,36.70,38.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62,-13.96,,18.88,-13.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,11.83,,32.85,11.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,2.78,,25.82,2.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,2.17,,85.02,2.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,-39.45,,26.09,-39.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65,-34.00,,NM,-34.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,-9.83,,40.03,-9.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66,-30.77,,144.30,-30.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,-33.56,,60.86,-33.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,9.66,,35.69,9.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,35.33,,22.72,35.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,-41.86,,23.38,-41.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,-36.06,,44.39,-36.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86,20.85,,76.66,20.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,11.13,,33.44,11.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,-10.60,,30.66,-10.60
